,Unnamed: 0,Word,3singular,Present Participle,Simple Past,Past Participle,Word_uk,Word_ru,ru_I,ru_they,ru_we,ru_you_vu,ru_you_tu,ru_3s,uk_I,uk_they,uk_we,uk_you_vu,uk_you_tu,uk_3s
0,0,have,has,having,had,had,мати,иметь,имею,имеют,имеем,имеете,имеешь,имеет,маю,мають,маємо,маєте,маєш,має
1,1,do,does,doing,did,done,робити,делать,делаю,делают,делаем,делаете,делаешь,делает,роблю,роблять,робимо,робите,робиш,робить
2,2,know,knows,knowing,knew,known,знати,знать,знаю,знают,знаем,знаете,знаешь,знает,знаю,знають,знаємо,знаєте,знаєш,знає
3,3,see,sees,seeing,saw,seen,побачити,видеть,вижу,видят,видим,видите,видишь,видит,бачу,бачать,бачимо,бачите,бачиш,бачить
4,4,get,gets,getting,got,got,отримати,получать,получаю,получают,получаем,получаете,получаешь,получает,отримую,отримують,отримуємо,отримуєте,отримуєш,отримує
5,5,think,thinks,thinking,thought,thought,думати,думать,думаю,думают,думаем,думаете,думаешь,думает,думаю,думають,думаємо,думаєте,думаєш,думає
6,6,go,goes,going,went,gone,думати,идти,иду,идут,идем,идете,идешь,идет,йду,йдуть,йдемо,йдете,йдеш,йде
7,7,make,makes,making,made,made,зробити,делать,делаю,делают,делаем,делаете,делаешь,делает,роблю,роблять,робимо,робите,робиш,робить
8,8,take,takes,taking,took,taken,брати,брать,беру,берут,берем,берете,берешь,берет,беру,беруть,беремо,берете,береш,бере
9,9,come,comes,coming,came,come,приходити,приходить,прихожу,приходят,приходим,приходите,приходишь,приходит,приходжу,приходять,приходимо,приходите,приходиш,приходить
10,10,say,says,saying,said,said,казати,сказать,говорю,говорят,говорим,говорите,говоришь,говорит,кажу,кажуть,кажемо,кажете,кажеш,каже
11,11,put,puts,putting,put,put,класти,класть,кладу,кладут,кладем,кладете,кладешь,кладет,кладу,кладуть,кладемо,кладете,кладеш,кладе
12,12,want,wants,wanting,wanted,wanted,хотіти,хотеть,хочу,хотят,хотим,хотите,хочешь,хочет,хочу,хочуть,хочемо,хочете,хочеш,хоче
13,13,give,gives,giving,gave,given,давати,давать,даю,дают,даем,даете,даешь,дает,даю,дають,даємо,даєте,даєш,дає
