Word,3singular,Present Participle,Simple Past,Past Participle,Word_uk,Word_ru,ru_I,ru_they,ru_we,ru_you_vu,ru_you_tu,ru_3s,uk_I,uk_they,uk_we,uk_you_vu,uk_you_tu,uk_3s
have,has,having,had,had,мати,иметь,имею,имеют,имеем,имеете,имеешь,имеет,маю,мають,маємо,маєте,маєш,має
do,does,doing,did,done,робити,делать,делаю,делают,делаем,делаете,делаешь,делает,роблю,роблять,робимо,робите,робиш,робить
know,knows,knowing,knew,known,знати,знать,знаю,знают,знаем,знаете,знаешь,знает,знаю,знають,знаємо,знаєте,знаєш,знає
see,sees,seeing,saw,seen,побачити,видеть,вижу,видят,видим,видите,видишь,видит,бачу,бачать,бачимо,бачите,бачиш,бачить
get,gets,getting,got,got,отримати,получать,получаю,получают,получаем,получаете,получаешь,получает,отримую,отримують,отримуємо,отримуєте,отримуєш,отримує
think,thinks,thinking,thought,thought,думати,думать,думаю,думают,думаем,думаете,думаешь,думает,думаю,думають,думаємо,думаєте,думаєш,думає
go,goes,going,went,gone,думати,идти,иду,идут,идем,идете,идешь,идет,йду,йдуть,йдемо,йдете,йдеш,йде
make,makes,making,made,made,зробити,делать,делаю,делают,делаем,делаете,делаешь,делает,роблю,роблять,робимо,робите,робиш,робить
take,takes,taking,took,taken,брати,брать,беру,берут,берем,берете,берешь,берет,беру,беруть,беремо,берете,береш,бере
come,comes,coming,came,come,приходити,приходить,прихожу,приходят,приходим,приходите,приходишь,приходит,приходжу,приходять,приходимо,приходите,приходиш,приходить
say,says,saying,said,said,казати,сказать,говорю,говорят,говорим,говорите,говоришь,говорит,кажу,кажуть,кажемо,кажете,кажеш,каже
put,puts,putting,put,put,класти,класть,кладу,кладут,кладем,кладете,кладешь,кладет,кладу,кладуть,кладемо,кладете,кладеш,кладе
want,wants,wanting,wanted,wanted,хотіти,хотеть,хочу,хотят,хотим,хотите,хочешь,хочет,хочу,хочуть,хочемо,хочете,хочеш,хоче
give,gives,giving,gave,given,давати,давать,даю,дают,даем,даете,даешь,дает,даю,дають,даємо,даєте,даєш,дає
look,looks,looking,looked,looked,дивитися,смотреть,смотрю,смотрят,смотрим,смотрите,смотришь,смотрит,дивлюсь,дивляться,дивимося,дивитеся,дивишся,дивиться
find,finds,finding,found,found,знаходити,находить,нахожу,находят,находим,находите,находишь,находит,знаходжу,знаходять,знаходимо,знаходите,знаходиш,знаходить
need,needs,needing,needed,needed,потребувати,нуждаться,нуждаюсь,нуждаются,нуждаемся,нуждаетесь,нуждаешься,нуждается,потребую,потребують,потребуємо,потребуєте,потребуєш,потребує
like,likes,liking,liked,liked,подобається,нравиться,нравится,нравится,нравится,нравится,нравится,нравится,подобається,подобається,подобається,подобається,подобається,подобається
set,sets,setting,set,set,встановити,устанавливать,устанавливаю,устанавливают,устанавливаем,устанавливаете,устанавливаешь,устанавливает,встановлюю,встановлюють,встановлюємо,встановлюєте,встановлюєш,встановлює
use,uses,using,used,used,використовувати,использовать,использую,используют,используем,используете,используешь,использует,використовую,використовують,використовуємо,використовуєте,використовуєш,використовує
become,becomes,becoming,became,become,стати,становиться,становлюсь,становятся,становимся,становитесь,становишься,становится,стаю,стають,стаємо,стаєте,стаєш,стає
tell,tells,telling,told,told,розповідати,рассказывать,рассказываю,рассказывают,рассказываем,рассказываете,рассказываешь,рассказывает,розповідаю,розповідають,розповідаємо,розповідаєте,розповідаєш,розповідає
keep,keeps,keeping,kept,kept,тримати,держать,держу,держат,держим,держите,держишь,держит,тримаю,тримають,тримаємо,тримаєте,тримаєш,тримає
help,helps,helping,helped,helped,допомагати,помогать,помогаю,помогают,помогаем,помогаете,помогаешь,помогает,допомагаю,допомагають,допомагаємо,допомагаєте,допомагаєш,допомагає
work,works,working,worked,worked,працювати,работать,работаю,работают,работаем,работаете,работаешь,работает,працюю,працюють,працюємо,працюєте,працюєш,працює
let,lets,letting,let,let,дозволяти,позволять,позволяю,позволяют,позволяем,позволяете,позволяешь,позволяет,дозволяю,дозволяють,дозволяємо,дозволяєте,дозволяєш,дозволяє
feel,feels,feeling,felt,felt,відчувати,чувствовать,чувствую,чувствуют,чувствуем,чувствуете,чувствуешь,чувствует,відчуваю,відчувають,відчуваємо,відчуваєте,відчуваєш,відчуває
provide,provides,providing,provided,provided,забезпечити,обеспечивать,обеспечиваю,обеспечивают,обеспечиваем,обеспечиваете,обеспечиваешь,обеспечивает,забезпечую,забезпечують,забезпечуємо,забезпечуєте,забезпечуєш,забезпечує
believe,believes,believing,believed,believed,вірити,верить,верю,верят,верим,верите,веришь,верит,вірю,вірять,віримо,вірите,віриш,вірить
try,tries,trying,tried,tried,намагатися,пытаться,пытаюсь,пытаются,пытаемся,пытаетесь,пытаешься,пытается,намагаюся,намагаються,намагаємося,намагаєтеся,намагаєшся,намагається
ask,asks,asking,asked,asked,запитувати,спрашивать,спрашиваю,спрашивают,спрашиваем,спрашиваете,спрашиваешь,спрашивает,питаю,запитують,питаємо,питаєте,питаєш,запитує
remember,remembers,remembering,remembered,remembered,запам'ятати,помнить,помню,помнят,помним,помнишь,помнишь,помнит,пам'ятаю,пам'ятають,пам'ятаємо,пам'ятаєш,пам'ятаєш,пам'ятає
leave,leaves,leaving,left,left,залишати,оставлять,оставляю,оставляю,оставляем,оставляете,оставляешь,оставляет,залишаю,залишаю,залишаємо,залишаєте,залишаєш,залишає
